תחנה:עצמאות חיפה -  , SO2      , PM1      , Spare    , TOLUENE  , Benzen   , 1,3 But  , SHT      , PM2.5    , PM10     , CO       , No2      , Nox      , No       , תאריך  \ שעה             
 , ppb      , g/m3µ    , None     , ppb      , ppb      , ppb      , °c       , µg/m3    , µg/m3    , ppm      , ppb      , ppb      , ppb      ,                          
 , 0.3      , 9        , Down     , 0.39     , 0.06     , Down     , Down     , 1.0      , Down     , 0.3      , 11.0     , 10.6     , 0.0      , 06/06/2018 01:35         
 , 0.5      , 9        , Down     , 0.39     , 0.06     , Down     , Down     , 0.2      , Down     , 0.3      , 13.6     , 13.7     , 0.0      , 06/06/2018 01:40         
 , 0.0      , 10       , Down     , 0.39     , 0.06     , Down     , Down     , 2.0      , Down     , 0.3      , 15.5     , 15.6     , 0.2      , 06/06/2018 01:45         
 , 0.1      , 12       , Down     , 0.40     , 0.06     , Down     , Down     , 2.3      , Down     , 0.3      , 14.2     , 14.2     , 0.0      , 06/06/2018 01:50         
 , 0.1      , 14       , Down     , 0.40     , 0.06     , Down     , Down     , 4.5      , Down     , 0.3      , 12.8     , 12.6     , 0.0      , 06/06/2018 01:55         
 , 0.3      , 15       , Down     , 0.40     , 0.06     , Down     , Down     , 6.9      , Down     , 0.3      , 19.2     , 21.7     , 2.3      , 06/06/2018 02:00         
 , 0.1      , 15       , Down     , 0.40     , 0.06     , Down     , Down     , 11.1     , Down     , 0.3      , 21.6     , 21.9     , 0.2      , 06/06/2018 02:05         
 , 0.0      , 15       , Down     , 0.40     , 0.06     , Down     , Down     , 11.2     , Down     , 0.3      , 23.0     , 23.7     , 0.6      , 06/06/2018 02:10         
 , 0.2      , 15       , Down     , 0.40     , 0.06     , Down     , Down     , 8.2      , Down     , 0.3      , 24.7     , 25.5     , 0.9      , 06/06/2018 02:15         
 , 0.7      , 15       , Down     , 0.40     , 0.07     , Down     , Down     , 6.0      , Down     , 0.3      , 24.9     , 25.4     , 0.4      , 06/06/2018 02:20         
 , 0.6      , 14       , Down     , 0.40     , 0.07     , Down     , Down     , 5.8      , Down     , 0.3      , 27.4     , 28.1     , 0.7      , 06/06/2018 02:25         
 , 0.1      , 13       , Down     , 0.40     , 0.07     , Down     , Down     , 6.9      , Down     , 0.3      , 33.3     , 39.8     , 6.3      , 06/06/2018 02:30         
 , 0.8      , 12       , Down     , 0.40     , 0.07     , Down     , Down     , 4.3      , Down     , 0.3      , 33.1     , 37.6     , 4.6      , 06/06/2018 02:35         
 , 2.0      , 12       , Down     , 0.40     , 0.07     , Down     , Down     , 5.4      , Down     , 0.3      , 31.9     , 34.4     , 2.4      , 06/06/2018 02:40         
 , 1.7      , 11       , Down     , 0.40     , 0.07     , Down     , Down     , 10.6     , Down     , 0.3      , 30.7     , 32.1     , 1.6      , 06/06/2018 02:45         
 , 0.6      , 13       , Down     , 0.40     , 0.01     , Down     , Down     , 14.7     , Down     , 0.3      , 27.0     , 27.8     , 0.7      , 06/06/2018 02:50         
 , 1.0      , 12       , Down     , 0.40     , 0.00     , Down     , Down     , 14.3     , Down     , 0.3      , 29.6     , 30.7     , 1.1      , 06/06/2018 02:55         
 , 1.5      , 14       , Down     , 0.40     , 0.00     , Down     , Down     , 13.3     , Down     , 0.3      , 32.4     , 34.0     , 1.5      , 06/06/2018 03:00         
 , 1.5      , 16       , Down     , 0.40     , 0.00     , Down     , Down     , 17.3     , Down     , 0.3      , 34.3     , 35.8     , 1.4      , 06/06/2018 03:05         
 , 0.6      , 15       , Down     , 0.40     , 0.00     , Down     , Down     , 20.4     , Down     , 0.3      , 35.4     , 37.2     , 1.8      , 06/06/2018 03:10         
 , 0.6      , 13       , Down     , 0.40     , 0.00     , Down     , Down     , 18.0     , Down     , 0.3      , 35.2     , 37.6     , 2.4      , 06/06/2018 03:15         
 , 1.0      , 13       , Down     , 0.44     , 0.00     , Down     , Down     , 17.7     , Down     , 0.3      , 34.2     , 35.8     , 1.7      , 06/06/2018 03:20         
 , 1.3      , 16       , Down     , 0.45     , 0.00     , Down     , Down     , 17.6     , Down     , 0.3      , 32.8     , 34.2     , 1.4      , 06/06/2018 03:25         
 , 0.7      , 16       , Down     , 0.45     , 0.00     , Down     , Down     , 19.0     , Down     , 0.3      , 31.7     , 35.8     , 4.1      , 06/06/2018 03:30         
 , 0.6      , 18       , Down     , 0.45     , 0.00     , Down     , Down     , 15.3     , Down     , 0.4      , 33.5     , 35.5     , 2.0      , 06/06/2018 03:35         
 , 0.9      , 17       , Down     , 0.45     , 0.00     , Down     , Down     , 13.2     , Down     , 0.3      , 33.8     , 35.5     , 1.7      , 06/06/2018 03:40         
 , 1.2      , 17       , Down     , 0.45     , 0.00     , Down     , Down     , 14.7     , Down     , 0.3      , 32.7     , 34.7     , 2.1      , 06/06/2018 03:45         
 , 0.7      , 19       , Down     , 0.52     , 0.06     , Down     , Down     , 18.1     , Down     , 0.3      , 30.2     , 31.8     , 1.7      , 06/06/2018 03:50         
 , 0.8      , 16       , Down     , 0.53     , 0.07     , Down     , Down     , 14.7     , Down     , 0.4      , 29.4     , 31.2     , 1.9      , 06/06/2018 03:55         
 , 0.6      , 16       , Down     , 0.53     , 0.07     , Down     , Down     , 11.3     , Down     , 0.4      , 25.9     , 27.0     , 1.0      , 06/06/2018 04:00         
 , 1.1      , 16       , Down     , 0.53     , 0.07     , Down     , Down     , 9.1      , Down     , 0.4      , 25.6     , 27.3     , 1.7      , 06/06/2018 04:05         
 , 0.8      , 15       , Down     , 0.53     , 0.07     , Down     , Down     , 12.2     , Down     , 0.3      , 29.3     , 34.1     , 4.8      , 06/06/2018 04:10         
 , 0.7      , 14       , Down     , 0.53     , 0.07     , Down     , Down     , 13.7     , Down     , 0.4      , 23.7     , 24.9     , 1.1      , 06/06/2018 04:15         
 , 0.8      , 13       , Down     , 0.55     , 0.09     , Down     , Down     , 17.0     , Down     , 0.4      , 29.7     , 34.0     , 4.2      , 06/06/2018 04:20         
 , 1.0      , 14       , Down     , 0.55     , 0.09     , Down     , Down     , 18.3     , Down     , 0.4      , 27.3     , 29.4     , 2.2      , 06/06/2018 04:25         
 , 0.8      , 14       , Down     , 0.55     , 0.09     , Down     , Down     , 20.2     , Down     , 0.3      , 23.8     , 25.0     , 1.2      , 06/06/2018 04:30         
 , 0.5      , 14       , Down     , 0.55     , 0.09     , Down     , Down     , 22.7     , Down     , 0.4      , 27.9     , 32.8     , 4.6      , 06/06/2018 04:35         
 , 0.9      , 12       , Down     , 0.55     , 0.09     , Down     , Down     , 22.3     , Down     , 0.4      , 32.8     , 42.7     , 9.9      , 06/06/2018 04:40         
 , 1.0      , 12       , Down     , 0.55     , 0.09     , Down     , Down     , 23.1     , Down     , 0.4      , 32.2     , 37.3     , 5.1      , 06/06/2018 04:45         
 , 1.3      , 14       , Down     , 0.13     , 0.02     , Down     , Down     , 22.4     , Down     , Calib    , 31.8     , 35.8     , 4.0      , 06/06/2018 04:50         
 , 0.6      , 15       , Down     , 0.02     , 0.00     , Down     , Down     , 20.0     , Down     , Calib    , 33.8     , 38.3     , 4.4      , 06/06/2018 04:55         
 , 0.7      , 17       , Down     , 0.02     , 0.00     , Down     , Down     , 20.7     , Down     , Calib    , 35.2     , 42.4     , 7.2      , 06/06/2018 05:00         
 , 1.4      , 19       , Down     , 0.02     , 0.00     , Down     , Down     , 21.7     , Down     , Calib    , 36.9     , 49.5     , 12.6     , 06/06/2018 05:05         
 , 1.4      , 19       , Down     , 0.02     , 0.00     , Down     , Down     , 22.2     , Down     , Calib    , 36.6     , 47.0     , 10.4     , 06/06/2018 05:10         
 , 0.9      , 16       , Down     , 0.02     , 0.00     , Down     , Down     , 23.4     , Down     , Calib    , 38.0     , 53.7     , 15.6     , 06/06/2018 05:15         
 , 1.2      , 15       , Down     , 0.68     , 0.00     , Down     , Down     , 25.0     , Down     , 0.4      , 37.8     , 57.3     , 19.6     , 06/06/2018 05:20         
 , 1.9      , 16       , Down     , 0.85     , 0.00     , Down     , Down     , 26.6     , Down     , 0.4      , 38.3     , 64.5     , 26.2     , 06/06/2018 05:25         
 , 1.6      , 18       , Down     , 0.85     , 0.00     , Down     , Down     , 26.0     , Down     , 0.4      , 42.8     , 75.1     , 32.1     , 06/06/2018 05:30         
 , 1.7      , 16       , Down     , 0.85     , 0.00     , Down     , Down     , 27.3     , Down     , 0.4      , 40.1     , 77.5     , 37.5     , 06/06/2018 05:35         
 , 2.9      , 14       , Down     , 0.85     , 0.00     , Down     , Down     , 28.2     , Down     , 0.7      , 35.7     , 61.7     , 26.5     , 06/06/2018 05:40         
 , 3.3      , 13       , Down     , 0.85     , 0.00     , Down     , Down     , 27.7     , Down     , 0.5      , 31.5     , 68.0     , 36.3     , 06/06/2018 05:45         
 , 1.8      , 14       , Down     , 1.08     , 0.02     , Down     , Down     , 23.8     , Down     , 0.4      , &lt;Samp , Calib    , Calib    , 06/06/2018 05:50         
 , 1.4      , 13       , Down     , 1.14     , 0.02     , Down     , Down     , 20.5     , Down     , 0.4      , InVld    , Calib    , Calib    , 06/06/2018 05:55         
 , 1.8      , 15       , Down     , 1.14     , 0.02     , Down     , Down     , 16.3     , Down     , 0.4      , InVld    , Calib    , Calib    , 06/06/2018 06:00         
 , 1.9      , 18       , Down     , 1.14     , 0.02     , Down     , Down     , 15.5     , Down     , 0.4      , InVld    , Calib    , Calib    , 06/06/2018 06:05         
 , 1.2      , 19       , Down     , 1.14     , 0.02     , Down     , Down     , 12.2     , Down     , 0.4      , InVld    , Calib    , Calib    , 06/06/2018 06:10         
 , 1.2      , 16       , Down     , 1.14     , 0.02     , Down     , Down     , 7.7      , Down     , 0.4      , InVld    , Calib    , Calib    , 06/06/2018 06:15         
 , 2.2      , 13       , Down     , 1.02     , 0.01     , Down     , Down     , 2.4      , Down     , 0.4      , 26.0     , 49.9     , 23.7     , 06/06/2018 06:20         
 , 1.4      , 13       , Down     , 0.99     , 0.01     , Down     , Down     , 0.9      , Down     , 0.4      , 32.2     , 52.4     , 20.2     , 06/06/2018 06:25         
 , 1.3      , 12       , Down     , 0.99     , 0.01     , Down     , Down     , 1.4      , Down     , 0.4      , 29.0     , 46.1     , 17.2     , 06/06/2018 06:30         
 , 1.7      , 12       , Down     , 0.99     , 0.01     , Down     , Down     , 1.0      , Down     , 0.4      , 28.9     , 55.6     , 26.6     , 06/06/2018 06:35         
 , 2.1      , 11       , Down     , 0.99     , 0.01     , Down     , Down     , 1.6      , Down     , 0.4      , 32.4     , 56.9     , 24.6     , 06/06/2018 06:40         
 , 1.2      , 7        , Down     , 0.99     , 0.01     , Down     , Down     , 5.0      , Down     , 0.4      , 29.6     , 50.7     , 20.9     , 06/06/2018 06:45         
 , 1.5      , 5        , Down     , 0.89     , 0.01     , Down     , Down     , 8.6      , Down     , 0.4      , 31.6     , 57.9     , 26.3     , 06/06/2018 06:50         
 , 1.9      , 7        , Down     , 0.86     , 0.01     , Down     , Down     , 14.2     , Down     , 0.4      , 30.0     , 51.3     , 21.5     , 06/06/2018 06:55         
 , 1.6      , 10       , Down     , 0.86     , 0.01     , Down     , Down     , 18.7     , Down     , 0.4      , 27.4     , 46.3     , 18.8     , 06/06/2018 07:00         
 , 1.1      , 11       , Down     , 0.86     , 0.01     , Down     , Down     , 22.2     , Down     , 0.4      , 32.9     , 57.5     , 24.5     , 06/06/2018 07:05         
 , 1.4      , 12       , Down     , 0.86     , 0.01     , Down     , Down     , 26.0     , Down     , 0.4      , 35.4     , 68.5     , 33.2     , 06/06/2018 07:10         
 , 1.8      , 12       , Down     , 0.86     , 0.01     , Down     , Down     , 29.4     , Down     , 0.5      , 33.1     , 69.4     , 36.2     , 06/06/2018 07:15         
 , 1.3      , 13       , Down     , 0.84     , 0.01     , Down     , Down     , 27.7     , Down     , 0.4      , 25.3     , 40.8     , 15.7     , 06/06/2018 07:20         
 , 1.0      , 13       , Down     , 0.83     , 0.01     , Down     , Down     , 26.7     , Down     , 0.4      , 25.7     , 44.3     , 18.4     , 06/06/2018 07:25         
 , 1.6      , 14       , Down     , 0.83     , 0.01     , Down     , Down     , 24.9     , Down     , 0.4      , 25.5     , 44.0     , 18.6     , 06/06/2018 07:30         
 , 1.5      , 17       , Down     , 0.83     , 0.01     , Down     , Down     , 22.5     , Down     , 0.4      , 27.5     , 47.4     , 19.8     , 06/06/2018 07:35         
 , 1.0      , 18       , Down     , 0.83     , 0.01     , Down     , Down     , 19.4     , Down     , 0.4      , 28.1     , 47.8     , 19.8     , 06/06/2018 07:40         
 , 1.5      , 17       , Down     , 0.83     , 0.01     , Down     , Down     , 15.1     , Down     , 0.4      , 25.7     , 41.9     , 16.2     , 06/06/2018 07:45         
 , 2.0      , 14       , Down     , 1.11     , 0.01     , Down     , Down     , 14.0     , Down     , 0.4      , 26.5     , 41.7     , 15.3     , 06/06/2018 07:50         
 , 1.6      , 13       , Down     , 1.18     , 0.01     , Down     , Down     , 16.4     , Down     , 0.4      , 31.4     , 54.2     , 22.9     , 06/06/2018 07:55         
 , 1.2      , 17       , Down     , 1.18     , 0.01     , Down     , Down     , 17.6     , Down     , 0.6      , 24.5     , 41.3     , 16.8     , 06/06/2018 08:00         
 , 2.2      , 19       , Down     , 1.18     , 0.01     , Down     , Down     , 13.1     , Down     , 0.4      , 24.9     , 43.3     , 18.4     , 06/06/2018 08:05         
 , 1.7      , 20       , Down     , 1.18     , 0.01     , Down     , Down     , 13.3     , Down     , 0.4      , 21.4     , 34.1     , 12.7     , 06/06/2018 08:10         
 , 1.4      , 21       , Down     , 1.18     , 0.01     , Down     , Down     , 15.7     , Down     , 0.4      , 24.5     , 43.1     , 18.6     , 06/06/2018 08:15         
 , 2.3      , 22       , Down     , 0.93     , 0.00     , Down     , Down     , 15.2     , Down     , 0.4      , 24.1     , 38.9     , 14.8     , 06/06/2018 08:20         
 , 2.2      , 24       , Down     , 0.87     , 0.00     , Down     , Down     , 18.7     , Down     , 0.4      , 26.2     , 45.1     , 18.8     , 06/06/2018 08:25         
 , 1.4      , 25       , Down     , 0.87     , 0.00     , Down     , Down     , 20.0     , Down     , 0.4      , 26.7     , 45.3     , 18.6     , 06/06/2018 08:30         
 , 1.8      , 26       , Down     , 0.87     , 0.00     , Down     , Down     , 19.8     , Down     , 0.4      , 27.5     , 49.5     , 21.7     , 06/06/2018 08:35         
 , 2.2      , 26       , Down     , 0.87     , 0.00     , Down     , Down     , 19.0     , Down     , 0.4      , 26.4     , 46.5     , 20.3     , 06/06/2018 08:40         
 , 1.5      , 26       , Down     , 0.87     , 0.00     , Down     , Down     , 17.3     , Down     , 0.5      , 28.0     , 54.6     , 26.2     , 06/06/2018 08:45         
 , 2.0      , 26       , Down     , 0.87     , 0.00     , Down     , Down     , 16.6     , Down     , 0.4      , 28.4     , 50.0     , 21.8     , 06/06/2018 08:50         
 , 2.1      , 23       , Down     , 0.87     , 0.00     , Down     , Down     , 18.8     , Down     , 0.4      , 28.3     , 49.9     , 21.5     , 06/06/2018 08:55         
 , 1.4      , 24       , Down     , 0.87     , 0.00     , Down     , Down     , 20.5     , Down     , 0.5      , 27.2     , 54.9     , 28.0     , 06/06/2018 09:00         
 , 1.6      , 22       , Down     , 0.87     , 0.00     , Down     , Down     , 19.7     , Down     , 0.4      , 25.5     , 39.5     , 14.1     , 06/06/2018 09:05         
 , 2.1      , 20       , Down     , 0.87     , 0.00     , Down     , Down     , 21.4     , Down     , 0.4      , 26.3     , 44.6     , 18.1     , 06/06/2018 09:10         
 , 1.1      , 20       , Down     , 0.87     , 0.00     , Down     , Down     , 20.4     , Down     , 0.4      , 27.8     , 46.2     , 18.3     , 06/06/2018 09:15         
 , 1.5      , 18       , Down     , 0.20     , 0.01     , Down     , Down     , 18.8     , Down     , 0.4      , 29.1     , 49.4     , 20.5     , 06/06/2018 09:20         
 , 2.0      , 17       , Down     , 0.03     , 0.01     , Down     , Down     , 21.5     , Down     , 0.4      , 29.4     , 53.8     , 24.1     , 06/06/2018 09:25         
 , 1.6      , 15       , Down     , 0.03     , 0.01     , Down     , Down     , 24.1     , Down     , 0.4      , 26.5     , 46.1     , 19.9     , 06/06/2018 09:30         
 , 2.0      , 17       , Down     , 0.03     , 0.01     , Down     , Down     , 25.9     , Down     , 0.5      , 21.7     , 53.4     , 31.6     , 06/06/2018 09:35         
 , 2.2      , 17       , Down     , 0.03     , 0.01     , Down     , Down     , 22.7     , Down     , 0.4      , 26.4     , 45.1     , 18.6     , 06/06/2018 09:40         
 , 1.5      , 16       , Down     , 0.03     , 0.01     , Down     , Down     , 22.3     , Down     , 0.4      , 28.3     , 47.1     , 18.8     , 06/06/2018 09:45         
 , 2.1      , 16       , Down     , 0.02     , 0.01     , Down     , Down     , 22.7     , Down     , 0.4      , 23.6     , 36.5     , 13.1     , 06/06/2018 09:50         
 , 2.4      , 15       , Down     , 0.02     , 0.01     , Down     , Down     , 21.2     , Down     , 0.4      , 21.5     , 32.6     , 11.0     , 06/06/2018 09:55         
 , 1.2      , 17       , Down     , 0.02     , 0.01     , Down     , Down     , 20.5     , Down     , 0.4      , 23.6     , 37.5     , 13.9     , 06/06/2018 10:00         
 , 1.7      , 18       , Down     , 0.02     , 0.01     , Down     , Down     , 19.6     , Down     , 0.4      , 22.8     , 35.6     , 12.8     , 06/06/2018 10:05         
 , 1.7      , 17       , Down     , 0.02     , 0.01     , Down     , Down     , 21.0     , Down     , 0.4      , 19.8     , 30.0     , 10.5     , 06/06/2018 10:10         
 , 1.4      , 19       , Down     , 0.02     , 0.01     , Down     , Down     , 20.5     , Down     , 0.4      , 23.1     , 36.5     , 13.4     , 06/06/2018 10:15         
 , 1.8      , 21       , Down     , 0.80     , 0.20     , Down     , Down     , 17.8     , Down     , 0.5      , 28.8     , 45.0     , 15.3     , 06/06/2018 10:20         
 , 1.5      , 20       , Down     , 0.99     , 0.25     , Down     , Down     , 18.5     , Down     , 0.4      , 27.9     , 42.5     , 15.3     , 06/06/2018 10:25         
 , 1.5      , 17       , Down     , 0.99     , 0.25     , Down     , Down     , 20.6     , Down     , 0.4      , 19.9     , 30.3     , 10.5     , 06/06/2018 10:30         
 , 1.8      , 19       , Down     , 0.99     , 0.25     , Down     , Down     , 23.4     , Down     , 0.4      , 18.1     , 29.2     , 11.3     , 06/06/2018 10:35         
 , 1.4      , 23       , Down     , 0.99     , 0.25     , Down     , Down     , 25.7     , Down     , 0.4      , 23.3     , 33.6     , 10.0     , 06/06/2018 10:40         
 , 1.1      , 27       , Down     , 0.99     , 0.25     , Down     , Down     , 28.1     , Down     , 0.5      , 22.8     , 35.9     , 13.2     , 06/06/2018 10:45         
 , 1.3      , 27       , Down     , 0.88     , 0.05     , Down     , Down     , 31.8     , Down     , 0.5      , 22.6     , 34.0     , 11.5     , 06/06/2018 10:50         
 , 0.9      , 25       , Down     , 0.85     , 0.00     , Down     , Down     , 30.6     , Down     , 0.4      , 24.1     , 40.2     , 15.3     , 06/06/2018 10:55         
 , 1.0      , 21       , Down     , 0.85     , 0.00     , Down     , Down     , 29.8     , Down     , 0.4      , 29.9     , 46.4     , 17.0     , 06/06/2018 11:00         
 , 1.0      , 20       , Down     , 0.85     , 0.00     , Down     , Down     , 27.2     , Down     , 0.4      , 24.3     , 39.1     , 14.9     , 06/06/2018 11:05         
 , 0.6      , 17       , Down     , 0.85     , 0.00     , Down     , Down     , 26.5     , Down     , 0.4      , 19.0     , 28.8     , 10.0     , 06/06/2018 11:10         
 , 0.8      , 14       , Down     , 0.85     , 0.00     , Down     , Down     , 23.2     , Down     , 0.4      , 14.5     , 19.2     , 5.0      , 06/06/2018 11:15         
 , 0.6      , 16       , Down     , 0.94     , 0.00     , Down     , Down     , 19.7     , Down     , 0.4      , 9.8      , 14.0     , 4.2      , 06/06/2018 11:20         
 , 0.4      , 14       , Down     , 0.96     , 0.00     , Down     , Down     , 19.1     , Down     , 0.4      , 11.4     , 16.2     , 4.6      , 06/06/2018 11:25         
 , 0.5      , 11       , Down     , 0.96     , 0.00     , Down     , Down     , 19.2     , Down     , 0.4      , 11.7     , 15.9     , 4.3      , 06/06/2018 11:30         
 , 0.4      , 14       , Down     , 0.96     , 0.00     , Down     , Down     , 18.4     , Down     , 0.4      , 13.5     , 23.2     , 9.7      , 06/06/2018 11:35         
 , 0.5      , 17       , Down     , 0.96     , 0.00     , Down     , Down     , 18.9     , Down     , 0.4      , 13.4     , 21.8     , 8.5      , 06/06/2018 11:40         
 , 0.4      , 19       , Down     , 0.96     , 0.00     , Down     , Down     , 20.7     , Down     , 0.3      , 10.1     , 13.3     , 3.4      , 06/06/2018 11:45         
 , 0.3      , 20       , Down     , 1.12     , 0.00     , Down     , Down     , 25.2     , Down     , 0.4      , 14.9     , 39.5     , 24.4     , 06/06/2018 11:50         
 , 0.2      , 17       , Down     , 1.16     , 0.00     , Down     , Down     , 24.5     , Down     , 0.3      , 9.5      , 17.1     , 7.9      , 06/06/2018 11:55         
 , 0.2      , 16       , Down     , 1.16     , 0.00     , Down     , Down     , 21.5     , Down     , 0.3      , 10.9     , 16.7     , 5.6      , 06/06/2018 12:00         
 , 0.2      , 17       , Down     , 1.16     , 0.00     , Down     , Down     , 22.0     , Down     , 0.3      , 9.4      , 15.6     , 6.4      , 06/06/2018 12:05         
 , 0.0      , 15       , Down     , 1.16     , 0.00     , Down     , Down     , 22.1     , Down     , 0.4      , 11.0     , 20.7     , 9.5      , 06/06/2018 12:10         
 , 0.0      , 9        , Down     , 1.16     , 0.00     , Down     , Down     , 19.6     , Down     , 0.3      , 10.2     , 15.9     , 5.9      , 06/06/2018 12:15         
 , 0.0      , 8        , Down     , 0.98     , 0.02     , Down     , Down     , 17.6     , Down     , 0.3      , 11.5     , 19.7     , 7.9      , 06/06/2018 12:20         
 , 0.1      , 6        , Down     , 0.93     , 0.02     , Down     , Down     , 15.4     , Down     , 0.4      , 10.7     , 18.3     , 7.7      , 06/06/2018 12:25         
 , 0.0      , 6        , Down     , 0.93     , 0.02     , Down     , Down     , 11.8     , Down     , 0.4      , 18.6     , 30.4     , 11.9     , 06/06/2018 12:30         
 , 0.0      , 10       , Down     , 0.93     , 0.02     , Down     , Down     , 9.9      , Down     , 0.4      , 11.1     , 18.8     , 7.7      , 06/06/2018 12:35         
 , 0.0      , 14       , Down     , 0.93     , 0.02     , Down     , Down     , 7.5      , Down     , 0.4      , 13.2     , 22.3     , 8.9      , 06/06/2018 12:40         
 , 0.0      , 16       , Down     , 0.93     , 0.02     , Down     , Down     , 6.3      , Down     , 0.4      , 21.1     , 33.7     , 12.9     , 06/06/2018 12:45         
 , 0.0      , 18       , Down     , 0.80     , 0.00     , Down     , Down     , 10.4     , Down     , 0.4      , 9.6      , 15.2     , 5.6      , 06/06/2018 12:50         
 , 0.0      , 16       , Down     , 0.77     , 0.00     , Down     , Down     , 9.9      , Down     , 0.3      , 11.3     , 17.9     , 6.4      , 06/06/2018 12:55         
 , 0.0      , 16       , Down     , 0.77     , 0.00     , Down     , Down     , 8.4      , Down     , 0.4      , 17.3     , 28.0     , 10.7     , 06/06/2018 13:00         
 , 0.0      , 14       , Down     , 0.77     , 0.00     , Down     , Down     , 8.9      , Down     , 0.4      , 15.2     , 24.6     , 9.6      , 06/06/2018 13:05         
 , 0.0      , 14       , Down     , 0.77     , 0.00     , Down     , Down     , 12.3     , Down     , 0.4      , 14.6     , 25.3     , 10.7     , 06/06/2018 13:10         
 , 0.0      , 12       , Down     , 0.77     , 0.00     , Down     , Down     , 13.9     , Down     , 0.4      , 12.8     , 20.8     , 8.1      , 06/06/2018 13:15         
 , 0.0      , 10       , Down     , 0.63     , 0.10     , Down     , Down     , 13.8     , Down     , 0.3      , 12.3     , 19.0     , 6.7      , 06/06/2018 13:20         
 , 0.0      , 7        , Down     , 0.59     , 0.13     , Down     , Down     , 12.0     , Down     , 0.3      , 10.5     , 15.7     , 5.4      , 06/06/2018 13:25         
 , 0.0      , 6        , Down     , 0.59     , 0.13     , Down     , Down     , 12.4     , Down     , 0.5      , 10.3     , 19.1     , 8.5      , 06/06/2018 13:30         
 , 0.1      , 5        , Down     , 0.59     , 0.13     , Down     , Down     , 12.6     , Down     , 0.5      , 17.5     , 37.3     , 20.0     , 06/06/2018 13:35         
